,tweet,sentiment
0,Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders,negative
1,"""@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling...""",negative
2,Preparing to have a heart attack #tweetdebate,negative
3,"""no debate moderators under 50, sorry  #tweetdebate""",negative
4,@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current,negative
5,Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate,negative
6,#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so,negative
7,Obama -2 it an occupation not war #tweetdebate,negative
8,"""@TDefren  I'm very nervous, yes #tweetdebate""",negative
9,#tweetdebate no golden parachutes no padding CEOs - Obama,negative
10,Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate,negative
11,McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current,negative
12,@current current channel reception is continually sucking. Gotta love comcast,negative
13,McCain -3 for Kenndey comment #tweetdebate,negative
14,McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate,negative
15,#tweetdebate McCain starts awkwardly,negative
16,-1 McCain for stalling with faux sympathy #tweetdebate,negative
17,@andrewa121 I only get OTA HD with my EyeTV 500.,negative
18,McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current,negative
19,@current McCain looks so tired!! wayyyy past his bedtime #current,negative
20,"""dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate""",negative
21,@andrewa121 He looks and sounds pretty tired.,negative
22,@current Or its the beginning of the end of the beginning of the end.. Sheesh.,negative
23,McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate,negative
24,McCain: this is the end of the beginning. huh? #tweetdebate,negative
25,McCain -2 gving credit to house republicans #tweetdebate,negative
26,-1 McCain all over the place in his answer #tweetdebate,negative
27,"""Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate""",negative
28,"""if ur oldest candidate in history, why start with """"i'm not feeling great"""" .. makes u thing """"you're not looking great either #tweetdebate""",negative
29,"""Obama: 1 , McCain 0 : McCain didn't answer the question #tweetdebate""",negative
30,Obama -1 for answering a different question #tweetdebate,negative
31,McCain -1 for bringing in Kennedy for emotional effect #tweetdebate,negative
32,#tweetdebate greed is how we got into this situation in the first place,negative
33,"""McCain -2 """"Are you gonna vote for the plan?"""" - """"I hope so"""" whatte fuck?! #tweetdebate""",negative
34,McCain -1 for failing to meaningfully answer the question on economy #tweetdebate,negative
35,McCain -1 improper analogy #tweetdebate,negative
36,Obama -1 for not understanding economic regulation in America. #tweetdebate,negative
37,"""#tweetdebate -1 McCain """"we saw these problems coming"""" I thought the economy was fundamentally sound""",negative
38,Already tired of the Wall Street v Main Street analogies. #tweetdebate,negative
39,how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate,negative
40,"""@current #current How can you say """"I hope so"""" when you are asked the question of voting for something? You should know what yer view is!""",negative
41,"""""""John, ten days ago you said the fundamentals of the economy were strong"""" Hilarious #tweetdebate #current""",negative
42,McCain -1 for wearing a tie that makes my eyes sore. #tweetdebate,negative
43,McCain -1 for a total non-answer #tweetdebate,negative
44,"""-1 McCain Contrary statements regarding the state of the economy ",negative
45,Funny if they looked at each other I think the talking points would disappear and they might even be constructive #tweetdebate,negative
46,"""Really tired of hearing the word """"mainstreet"""" in the debate #tweetdebate""",negative
47,"""Fundamentally, if McCain fundamentally uses """"fundamental"""" one more time, I'm gonna go nuts. #tweetdebate""",negative
48,McCain -2 import/export claim? #tweetdebate,negative
49,McCain -2 Wrong Germany is the biggest exporter. Get your facts together! #tweetdebate,negative
50,"""#tweetdebate and when, just when are the questions going to be answered instead of campaigning talk?""",negative
51,"""#tweetdebate -1 Mccain for not answering the question and saying """"the wall street""""   between the eyeblinking +hesitation he looks weird""",negative
52,McCain is not answering the questions  #tweetdebate,negative
53,McCain likes the bears in Montana joke too much #tweetdebate #current,negative
54,-1 McCain should not joke about bear DNA #tweetdebate,negative
55,-1 mccain I love bears in montana #tweetdebate,negative
56,mccain -1 answer the question!  #tweetdebate,negative
57,-1 McCain flag waving pandering about American workers #tweetdebate,negative
58,-2 McCain for stringing too many colloquialisms together and post-Reaganomics sensationalism #tweetdebate,negative
59,#tweetdebate question: what did McCain learn from his good friend Charles Keating during the S&L bailout?,negative
60,McCain -3 for personal attack #tweetdebate,negative
61,mccain -1 for bringing up stupid bear study AGAIN #tweetdebate,negative
62,#tweetdebate generic debate so far. They won't even look at each other.,negative
63,"""so far, the debate reminds me of a school yard scolding #tweetdebate""",negative
64,computer for their kid? maybe the parents don't have one. #tweetdebate,negative
65,@pamelawella is that what makes him look like that? have always wondered..:) #tweetdebate,negative
66,Earmark spending has tripled over the last 5 years. Hasn't it been a Republican Administration for the last 7? #obamashot #tweetdebate,negative
67,"""it's like you can see Obama trying to remember all the """"talking points"""" and get his slogans out there #tweetdebate""",negative
68,McCain: I don't mean to go back and forth??? I thought this was a debate. #tweetdebate,negative
69,"""-1 McCain #tweetdebate """"I didn't win Miss Congeniality"""" but his VP did!""",negative
70,McCain -3 personal attack & -2 does he have evidence for this accusations to Obama #tweetdebate,negative
71,"""Facebook Blunt Jackson McCain -3 for ongoing personal attacks, irrelevant #tweetdebate. http://tinyurl.com/4fe6hh""",negative
72,Obama on the defensive.  #tweetdebate,negative
73,#current #tweetdebate #mccainshot Stop interrupting Obama McCain was just about to say my friends,negative
74,Mccain: the sherrif?  uh? #tweetdebate #current,negative
75,Jim Lehrer is having trouble getting them actually debating... fire up guys! #tweetdebate #debate08,negative
76,McCain -1 for failing to address the keystone tax cut issue #tweetdebate,negative
77,McCain's laugh sounds like Bush's!!  SCARYY!!  #tweetdebate,negative
78,#tweetdebate they won't even make eye contact. no one is responding directly,negative
79,"""McCain seems to start every sentence with """"the point is that...."""" #tweetdebate #current""",negative
80,"""rt: they are calling Palin """"Bible Spice"""" now. LOL #tweetdebate""",negative
81,"""#tweetdebate Weird that McPain brings up all the Repub bilksters in jail. He wants to separate himself, but doesn't seem like good strategy!""",negative
82,McCain cant even look at him..he must have gas! #tweetdebate,negative
83,@MaryTrigiani Hilarious line ... would have been better if Palin didn't ... #tweetdebate,negative
84,"""I really would like to see Obama & McCain actually engage each other,rather than just talking to the camera #current #tweetdebate""",negative
85,#tweetdebate -1 Obama for not answering earmark claim by McCain,negative
86,#tweetdebate McPain: we're exporting jobs 'cause of hi biz taxes. NOT because of cheap labor? Oh geez...,negative
87,McCain really believes earmarks got us into this mess and tax cuts will get us out of it? #tweetdebate,negative
88,McCain - have you tried buying health insurance for $5000 a year? #tweetdebate,negative
89,"""#tweetdebate looks like McCain can't make eye contact with Obama and respond directly to him. dang! there goes """"my friends"""" again.""",negative
90,@current #current How can you give all those tax breaks and expect the economy to not go futher into the hole?,negative
91,McCain wants us to read his lips #tweetdebate,negative
92,@davidweiner You're playing that game?  I'm drinking everytime I hear #economy.,negative
93,"""McCain -1 avoiding the question? wait, waht was the question exactly.. #tweetdebate""",negative
94,McCain -1 for failing (again) to heed the moderator's instructions #tweetdebate,negative
95,"""Because I don't have an HDTV, McCain's moire-effect tie is giving me a skull-crushing headache #tweetdebate""",negative
96,"""@current  Ah yes, the pot and the kettle are debating who is to blame for the proverbial heat in the kitchen.  #current""",negative
97,Mccain -1 for looking down and grinning #tweetdebate,negative
98,-1 mccain for floating idea of $5k tax cuts #tweetdebate,negative
99,"""#tweetdebate PLEEZE people, can we elect someone this time around who is SMART and ARTICULATE? F*ck having a beer with him/her...""",negative
100,#tweetdebate -3 McCain untasty comment about Obama not knowing about household income and wealth,negative
101,-1 McCain for breaking the debate rules. #tweetdebate,negative
102,Christmas trees are economic issues McCain?  #current #tweetdebate,neutral
103,"""Mccain -3 personal attack and don't like the quote again """"walk the walk..talk the talk stuff"""" nope doesn't work for me #Tweetdebate""",negative
104,#tweetdebate McCain can only play one tune.,negative
105,Health care costs and social spending sounds like chump change compared with Corporate Welfare. #current #tweetdebate #debate08,negative
106,-3 McCain for taling in circles. I don't understand what he is saying. #tweetdebate,negative
107,"""How long until McCain notes the amount of times Obama voted """"Present"""" rather than Yea or Nay? #tweetdebate""",negative
108,-1 Obama for breaking the debate rules and walking over the moderator. #tweetdebate,negative
109,McCain -1 for hogging the mic. #tweetdebate,negative
110,"""#tweetdebate Obama right to focus on issues in deregulation, and McCain ignoring these issues""",negative
111,McCain -1 weird smirking/laughing #tweetdebate,negative
112,@current #current Obama is stuttering too much. Sounds like Porky Big,negative
113,Financial rescue?  More like financial bailout!  #tweetdebate,negative
114,-3 McCain still attacking Obama (and spends more time looking at the podium) and -5 for that smile #tweetdebate,negative
115,I only just remembered that this was a foreign policy debate. #tweetdebate #current #debate08,negative
116,-1 Obama for too many disclaimers re: potential economic recovery plan #tweetdebate,negative
117,"""@current Healthcare is a financial killer in our capitalist society, oh the irony.  #current""",negative
118,"""@MaryTrigiani Yes, when she lost Miss Alaska.""",negative
119,-1 to Obama for leaving out conservation in the list of things that will free us from foreign oil #tweetdebate,negative
120,What is obama talking about with electricity? #current #tweetdebate,negative
121,"""ok, obama, people are glazing.  #tweetdebate""",negative
122,"""Obama -1 what are you """"giving up"""" in terms of spending exactly #tweetdebate""",negative
123,China also let infants drink tainted milk do we REALLY want to be like them?? #debate08 #maccainshot #obamashot #tweetdebate #current,negative
124,slipped that in  #tweetdebate,negative
125,McCain -3 another personal attack  #tweetdebate,negative
126,"""#tweetdebate """"I oppose"""" drinking game -- bottoms up!""",negative
127,"""-3 McCain Personal attack, it is hard to reach across the aisle when one is that far to the left. #tweetdebate""",negative
128,-2 McCain for redundancy #tweetdebate,negative
129,@current #current How in this day and age can you deny help to anyone who wants to produce alternative fuel -4 McCain,negative
130,"""#tweetdebate How many people know what """"cost-plus"""" contracts are? I wouldn't know if I hadn't worked for construction-related clients.""",negative
131,McCain -1 for false claims on Obama's voting record. #tweetdebate,negative
132,"""#tweetdebate defence contract inefficiency in contracts not the problem, a symptom, warring foreign policy is the REAL problem""",negative
133,"""Unfortunately, Obama didn't answer the question of what would he cut...#debate08 #tweetdebate""",negative
134,-3 pts simply because McCain said he's against ethanol subsidies. boo...#tweetdebate,negative
135,The moderator looked scary just now  #current #tweetdebate,negative
136,Mccain +3 examine quote ok.. but -1 not answering the question #tweetdebate,negative
137,"""-1 Obama for his crazy stuttering. Slow down, think and THEN speak #tweetdebate""",negative
138,McCain -2 for false statement Obama does not have the most liberal record  #tweetdebate,negative
139,McCain -2 for bringing federal prison into every question; is he thinking he's lucky not to be there himself? think Keating #tweetdebate,negative
140,McCain -1 for mischaracterizing a naval program #tweetdebate,negative
141,"""#tweetdebate hahahah...""""wildly liberal"""" is just me opposing bush's wrongheaded policies""",negative
142,Google for government? huh? #tweetdebate,negative
143,-1 Obama not answering question about specific cuts #tweetdebate,negative
144,"""Obama - """"Where's the teleprompter and cue cards!?"""" #current #tweetdebate""",negative
145,Obama -1 for evading question on what to cut #tweetdebate,negative
146,Dang tweeting while pausing the Tivo is not the right thing to do #current #debate08 #tweetdebate,negative
147,Where's the foreign policy part of the debate??? :S  #tweetdebate #current,negative
148,McCain -1 for evading question on what to cut #tweetdebate,negative
149,#tweetdebate Using a hatchet when you need a scalpel. #obamashot,negative
150,Obama soundbite: problem with a spending freeze is youre using a hatchet when you need a scalpel #tweetdebate,negative
151,Mccain -1 what? spending freeze ??? unclear at all #tweetdebate,negative
152,Close ups of Obama make him look old  #current #tweetdebate,negative
153,Obama- I wanna keep spending money--his Early Childhood education is full of crap. #current #tweetdebate,negative
154,-3 mccain #tweetdebate spending freeze for everything but defense -- what about our children? our education? energy independence?,negative
155,"""@current Damn, McCain just had to play the terrorist card. #current""",negative
156,more nukes is not the answer #tweetdebate,negative
157,-1 McCain's off topic on counterpoint about spending cuts    #tweetdebate,negative
158,"""McCain really shouldn't think off the cuff, he'll paint himself into a corner very quickly  #tweetdebate #current""",negative
159,Bill pissed  #tweetdebate  he's like 'step up'!,negative
160,McCain -1 for a stunt. Spending freeze is classical BS #tweetdebate,negative
161,-1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate,negative
162,What the heck is the line graph at the bottom of CNN's screen? Looks like my pulse! #tweetdebate,negative
163,Yes Obama I want to hear more about your superiority  #current #tweetdebate,negative
164,McCain -2 Nuclear power is limited too dude! By 2050 we are out of Uranium! And your power plant is done in 2030 #tweetdebate,negative
165,Roosevelt again. shit. he needs to throw down  #tweetdebate,negative
166,lehrer constantly rephrasing questions - mccain rambles too much to cover his talking points. -1 mccain #tweetdebate,negative
167,"""-1 pt for Jim Leher for asking a stupid question: """"will the economic failure change the way you rule as president?"""" uh...YEAH. #tweetdebate""",negative
168,@orbitaldiamonds IKR? Absolutely ridiculous.,negative
169,"""#tweetdebate -Google for government-uh, did anyone vote against that?  Voice votes on slam dunk legislation isn't a record of accomplishment""",negative
170,Spending freeze? Really McCain? #tweetdebate,negative
171,#tweetdebate agree with Obama - McCain hatchett job -ive step. We need a scalpel. Granularity of growth argument.,negative
172,"""@Condoulo oh boy good point, I doubt I would vote for her milf GMilf etc self anyway.""",negative
173,McCain -3 for total nonsense #tweetdebate,negative
174,Obama - spending on healthcare--he couldn't admit that this spending must stop!   #current #tweetdebate,negative
175,-1 McCain for not having a clue how many people can't afford a doctor at all #tweetdebate,negative
176,McCain -1 for evading question on what to cut #tweetdebate,negative
177,both -2 for saying the same thing over and over again. I know it's because people won't get it otherwise. People -3 ??? #tweetdebate,negative
178,"""#current #tweetdebate people without healthcare don't have those decisions to make, McCain.""",negative
179,-1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate,negative
180,"""Cut spending, Cut spending Cut spending Cut spending Cut spending :S  #tweetdebate #current""",negative
181,"""#tweetdebate McCain -2 broken record """"cut spending"""". Big """"duh""""...""",negative
182,@usermac if McCain is a cool beverage it's a plastic tumbler of prune juice.  So unpleasant and cramp inducing.,negative
183,"""#tweetdebate we can handle banks over to the federal government, but not healthcare?""",negative
184,@current #current Spending got out of control under REPUBLICAN presidency.,negative
185,"""#tweetdebate - McCain calls for all energy alternatives, including Nuclear!  McCain also says Climate Change.  Boo.""",negative
186,I think Obama miscalculated with not supporting a safe nuclear power program. #tweetdebate,negative
187,McCain -3 for another complete mischaracterization of reality (debt to china is utterly irrelevant) #tweetdebate,negative
188,"""@theebayk1d No..... we will end up with a conservative who supports drilling here in the US as we go to alternatives, second ammendment, etc""",negative
189,McCain -3 for making a false statement about Obama's health care plan #tweetdebate,negative
190,@SistersTalk The fear climate descended with Bush got the West Wing keys. #current #tweetdebate #debate08,negative
191,"""Obama -3 for getting """"Jim"""" err """"John's"""" name wrong, and not addressing him as """"senator"""" lack of respect #tweetdebate""",negative
192,"""""""This orgy of spending....and you voted for his budgets"""" #tweetdebate""",negative
193,More pissing on spending... #current #tweetdebate,negative
194,"""#tweetdebate Sen O: YOU voted for Bush' budgets. Stand here and say that when it hasn't happened over last 8 hears, it's hard to swallow.""",negative
195,probably...eventually.... c'mon McCain grow a pair #tweetdebate,negative
196,Obama - you voted for all of the budgets that have fuelled this orgy of spending. #tweetdebate,negative
197,He was voted Miss Bitch  #tweetdebate,negative
198,McCain rehearsed soundbite: I have not been voted Ms Congeniality #tweetdebate,negative
199,"""I guess McCain only spends money on shoes, make up and houses  #tweetdebate""",negative
200,#tweetdebate Over-used phrase of the night: Miss Congeniality. Wonder how that plays overseas?,negative
201,"""#tweetdebate soooo tired of hearing """"i have not been electd miss congeniality.""",negative
